parent_a_id,parent_a_name,parent_a_rarity,parent_a_blood,parent_b_id,parent_b_name,parent_b_rarity,parent_b_blood,blood_match,num_outcomes,out1_id,out1_name,out1_rarity,out1_pct,out1_type,out2_id,out2_name,out2_rarity,out2_pct,out2_type,out3_id,out3_name,out3_rarity,out3_pct,out3_type,out4_id,out4_name,out4_rarity,out4_pct,out4_type,out5_id,out5_name,out5_rarity,out5_pct,out5_type,out6_id,out6_name,out6_rarity,out6_pct,out6_type,out7_id,out7_name,out7_rarity,out7_pct,out7_type,out8_id,out8_name,out8_rarity,out8_pct,out8_type,out9_id,out9_name,out9_rarity,out9_pct,out9_type,out10_id,out10_name,out10_rarity,out10_pct,out10_type
bod_c01,Dots,common,solid,bod_c01,Dots,common,solid,same,3,bod_c01,Dots,common,77,inherit,bod_u01,Shade,uncommon,18,upgrade,bod_c05,Faint,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_c02,Light,common,fluid,cross,5,bod_c01,Dots,common,39,inherit,bod_c02,Light,common,38,inherit,bod_u01,Shade,uncommon,13,upgrade,bod_c05,Faint,common,5,sidegrade,CORRUPT,Corrupt,corrupt,5,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_c03,Plain,common,neutral,neutral,5,bod_c01,Dots,common,41,inherit,bod_c03,Plain,common,40,inherit,bod_u01,Shade,uncommon,11,upgrade,bod_c04,Thin,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_c04,Thin,common,neutral,neutral,5,bod_c01,Dots,common,41,inherit,bod_c04,Thin,common,40,inherit,bod_u01,Shade,uncommon,11,upgrade,bod_c02,Light,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_c05,Faint,common,neutral,neutral,5,bod_c01,Dots,common,41,inherit,bod_c05,Faint,common,40,inherit,bod_u01,Shade,uncommon,11,upgrade,bod_c04,Thin,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_u01,Shade,uncommon,solid,same,4,bod_u01,Shade,uncommon,44,inherit,bod_c01,Dots,common,33,inherit,bod_u01,Shade,uncommon,17,upgrade,bod_c03,Plain,common,6,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_u02,Mesh,uncommon,neutral,neutral,5,bod_u02,Mesh,uncommon,47,inherit,bod_c01,Dots,common,36,inherit,bod_u01,Shade,uncommon,9,upgrade,bod_c02,Light,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_u03,Grain,uncommon,fluid,cross,5,bod_u03,Grain,uncommon,43,inherit,bod_c01,Dots,common,32,inherit,bod_u01,Shade,uncommon,11,upgrade,CORRUPT,Corrupt,corrupt,9,corrupt,bod_c05,Faint,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_u04,Cross,uncommon,neutral,neutral,5,bod_u04,Cross,uncommon,47,inherit,bod_c01,Dots,common,36,inherit,bod_u01,Shade,uncommon,9,upgrade,bod_c04,Thin,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_r01,Crystal,rare,solid,same,5,bod_r01,Crystal,rare,51,inherit,bod_c01,Dots,common,28,inherit,bod_u01,Shade,uncommon,13,upgrade,bod_c02,Light,common,6,sidegrade,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_r02,Wave,rare,neutral,neutral,6,bod_r02,Wave,rare,54,inherit,bod_c01,Dots,common,30,inherit,bod_u01,Shade,uncommon,6,upgrade,bod_c05,Faint,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_r03,Pulse,rare,fluid,cross,6,bod_r03,Pulse,rare,48,inherit,bod_c01,Dots,common,27,inherit,bod_u01,Shade,uncommon,9,upgrade,CORRUPT,Corrupt,corrupt,9,corrupt,bod_c04,Thin,common,5,sidegrade,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_e01,Shell,epic,solid,same,5,bod_e01,Shell,epic,57,inherit,bod_c01,Dots,common,23,inherit,bod_u01,Shade,uncommon,9,upgrade,bod_c03,Plain,common,6,sidegrade,NEW,New Species,new,5,new,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_e02,Core,epic,fluid,cross,6,bod_e02,Core,epic,54,inherit,bod_c01,Dots,common,23,inherit,CORRUPT,Corrupt,corrupt,9,corrupt,bod_u01,Shade,uncommon,5,upgrade,bod_c02,Light,common,5,sidegrade,NEW,New Species,new,4,new,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_e03,Facet,epic,neutral,neutral,6,bod_e03,Facet,epic,60,inherit,bod_c01,Dots,common,23,inherit,bod_c05,Faint,common,6,sidegrade,NEW,New Species,new,5,new,bod_u01,Shade,uncommon,4,upgrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_l01,Hex,legendary,solid,same,5,bod_l01,Hex,legendary,61,inherit,bod_c01,Dots,common,18,inherit,NEW,New Species,new,9,new,bod_u01,Shade,uncommon,6,upgrade,bod_c04,Thin,common,6,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,
bod_c01,Dots,common,solid,bod_l02,Star,legendary,fluid,cross,6,bod_l02,Star,legendary,57,inherit,bod_c01,Dots,common,17,inherit,CORRUPT,Corrupt,corrupt,9,corrupt,NEW,New Species,new,8,new,bod_c03,Plain,common,6,sidegrade,bod_u01,Shade,uncommon,3,upgrade,,,,,,,,,,,,,,,,,,,,
