parent_a_id,parent_a_name,parent_a_rarity,parent_a_blood,parent_b_id,parent_b_name,parent_b_rarity,parent_b_blood,blood_match,num_outcomes,out1_id,out1_name,out1_rarity,out1_pct,out1_type,out2_id,out2_name,out2_rarity,out2_pct,out2_type,out3_id,out3_name,out3_rarity,out3_pct,out3_type,out4_id,out4_name,out4_rarity,out4_pct,out4_type,out5_id,out5_name,out5_rarity,out5_pct,out5_type,out6_id,out6_name,out6_rarity,out6_pct,out6_type,out7_id,out7_name,out7_rarity,out7_pct,out7_type,out8_id,out8_name,out8_rarity,out8_pct,out8_type,out9_id,out9_name,out9_rarity,out9_pct,out9_type,out10_id,out10_name,out10_rarity,out10_pct,out10_type
mth_c01,Flat Line,common,calm,mth_c01,Flat Line,common,calm,same,3,mth_c01,Flat Line,common,77,inherit,mth_u01,Circle,uncommon,18,upgrade,mth_c05,Underline,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_c02,Wave,common,flow,cross,5,mth_c01,Flat Line,common,39,inherit,mth_c02,Wave,common,38,inherit,mth_u01,Circle,uncommon,13,upgrade,mth_c03,Smile,common,5,sidegrade,CORRUPT,Corrupt,corrupt,5,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_c03,Smile,common,neutral,neutral,5,mth_c01,Flat Line,common,41,inherit,mth_c03,Smile,common,40,inherit,mth_u01,Circle,uncommon,11,upgrade,mth_c05,Underline,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_c04,Dot,common,neutral,neutral,5,mth_c01,Flat Line,common,41,inherit,mth_c04,Dot,common,40,inherit,mth_u01,Circle,uncommon,11,upgrade,mth_c03,Smile,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_c05,Underline,common,neutral,neutral,5,mth_c01,Flat Line,common,41,inherit,mth_c05,Underline,common,40,inherit,mth_u01,Circle,uncommon,11,upgrade,mth_c02,Wave,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_u01,Circle,uncommon,calm,same,4,mth_u01,Circle,uncommon,44,inherit,mth_c01,Flat Line,common,33,inherit,mth_u01,Circle,uncommon,17,upgrade,mth_c03,Smile,common,6,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_u02,Ripple,uncommon,flow,cross,5,mth_u02,Ripple,uncommon,43,inherit,mth_c01,Flat Line,common,32,inherit,mth_u01,Circle,uncommon,11,upgrade,CORRUPT,Corrupt,corrupt,9,corrupt,mth_c02,Wave,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_u03,Curve,uncommon,neutral,neutral,5,mth_u03,Curve,uncommon,47,inherit,mth_c01,Flat Line,common,36,inherit,mth_u01,Circle,uncommon,9,upgrade,mth_c05,Underline,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_u04,Whisker,uncommon,neutral,neutral,5,mth_u04,Whisker,uncommon,47,inherit,mth_c01,Flat Line,common,36,inherit,mth_u01,Circle,uncommon,9,upgrade,mth_c04,Dot,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
mth_c01,Flat Line,common,calm,mth_r01,Omega,rare,calm,same,5,mth_r01,Omega,rare,51,inherit,mth_c01,Flat Line,common,28,inherit,mth_u01,Circle,uncommon,13,upgrade,mth_c02,Wave,common,6,sidegrade,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,,,,,,
