parent_a_id,parent_a_name,parent_a_rarity,parent_a_blood,parent_b_id,parent_b_name,parent_b_rarity,parent_b_blood,blood_match,num_outcomes,out1_id,out1_name,out1_rarity,out1_pct,out1_type,out2_id,out2_name,out2_rarity,out2_pct,out2_type,out3_id,out3_name,out3_rarity,out3_pct,out3_type,out4_id,out4_name,out4_rarity,out4_pct,out4_type,out5_id,out5_name,out5_rarity,out5_pct,out5_type,out6_id,out6_name,out6_rarity,out6_pct,out6_type,out7_id,out7_name,out7_rarity,out7_pct,out7_type,out8_id,out8_name,out8_rarity,out8_pct,out8_type,out9_id,out9_name,out9_rarity,out9_pct,out9_type,out10_id,out10_name,out10_rarity,out10_pct,out10_type
tal_c01,Curl,common,swift,tal_c01,Curl,common,swift,same,3,tal_c01,Curl,common,77,inherit,tal_u01,Zigzag,uncommon,18,upgrade,tal_c05,Flick,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_c02,Swish,common,neutral,neutral,5,tal_c01,Curl,common,41,inherit,tal_c02,Swish,common,40,inherit,tal_u01,Zigzag,uncommon,11,upgrade,tal_c05,Flick,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_c03,Stub,common,steady,cross,5,tal_c01,Curl,common,39,inherit,tal_c03,Stub,common,38,inherit,tal_u01,Zigzag,uncommon,13,upgrade,tal_c04,Droop,common,5,sidegrade,CORRUPT,Corrupt,corrupt,5,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_c04,Droop,common,neutral,neutral,5,tal_c01,Curl,common,41,inherit,tal_c04,Droop,common,40,inherit,tal_u01,Zigzag,uncommon,11,upgrade,tal_c02,Swish,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_c05,Flick,common,neutral,neutral,5,tal_c01,Curl,common,41,inherit,tal_c05,Flick,common,40,inherit,tal_u01,Zigzag,uncommon,11,upgrade,tal_c04,Droop,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_u01,Zigzag,uncommon,swift,same,4,tal_u01,Zigzag,uncommon,44,inherit,tal_c01,Curl,common,33,inherit,tal_u01,Zigzag,uncommon,17,upgrade,tal_c03,Stub,common,6,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_u02,Drift,uncommon,steady,cross,5,tal_u02,Drift,uncommon,43,inherit,tal_c01,Curl,common,32,inherit,tal_u01,Zigzag,uncommon,11,upgrade,CORRUPT,Corrupt,corrupt,9,corrupt,tal_c02,Swish,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_u03,Whirl,uncommon,neutral,neutral,5,tal_u03,Whirl,uncommon,47,inherit,tal_c01,Curl,common,36,inherit,tal_u01,Zigzag,uncommon,9,upgrade,tal_c05,Flick,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_u04,Wag,uncommon,neutral,neutral,5,tal_u04,Wag,uncommon,47,inherit,tal_c01,Curl,common,36,inherit,tal_u01,Zigzag,uncommon,9,upgrade,tal_c04,Droop,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_r01,Ripple,rare,steady,cross,6,tal_r01,Ripple,rare,48,inherit,tal_c01,Curl,common,27,inherit,tal_u01,Zigzag,uncommon,9,upgrade,CORRUPT,Corrupt,corrupt,9,corrupt,tal_c02,Swish,common,5,sidegrade,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_r02,Bolt,rare,swift,same,5,tal_r02,Bolt,rare,51,inherit,tal_c01,Curl,common,28,inherit,tal_u01,Zigzag,uncommon,13,upgrade,tal_c05,Flick,common,6,sidegrade,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_r03,Fork,rare,neutral,neutral,6,tal_r03,Fork,rare,54,inherit,tal_c01,Curl,common,30,inherit,tal_u01,Zigzag,uncommon,6,upgrade,tal_c04,Droop,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_e01,Lightning,epic,swift,same,5,tal_e01,Lightning,epic,57,inherit,tal_c01,Curl,common,23,inherit,tal_u01,Zigzag,uncommon,9,upgrade,tal_c03,Stub,common,6,sidegrade,NEW,New Species,new,5,new,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_e02,Infinity,epic,steady,cross,6,tal_e02,Infinity,epic,54,inherit,tal_c01,Curl,common,23,inherit,CORRUPT,Corrupt,corrupt,9,corrupt,tal_u01,Zigzag,uncommon,5,upgrade,tal_c02,Swish,common,5,sidegrade,NEW,New Species,new,4,new,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_e03,Shimmer,epic,neutral,neutral,6,tal_e03,Shimmer,epic,60,inherit,tal_c01,Curl,common,23,inherit,tal_c05,Flick,common,6,sidegrade,NEW,New Species,new,5,new,tal_u01,Zigzag,uncommon,4,upgrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_l01,Comet,legendary,swift,same,5,tal_l01,Comet,legendary,61,inherit,tal_c01,Curl,common,18,inherit,NEW,New Species,new,9,new,tal_u01,Zigzag,uncommon,6,upgrade,tal_c04,Droop,common,6,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_l02,Glitter,legendary,steady,cross,6,tal_l02,Glitter,legendary,57,inherit,tal_c01,Curl,common,17,inherit,CORRUPT,Corrupt,corrupt,9,corrupt,NEW,New Species,new,8,new,tal_c03,Stub,common,6,sidegrade,tal_u01,Zigzag,uncommon,3,upgrade,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_m01,Supernova,mythic,swift,same,4,tal_m01,Supernova,mythic,59,inherit,NEW,New Species,new,18,new,tal_c01,Curl,common,17,inherit,tal_c03,Stub,common,6,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c01,Curl,common,swift,tal_m02,Eternal,mythic,steady,cross,5,tal_m02,Eternal,mythic,54,inherit,tal_c01,Curl,common,16,inherit,NEW,New Species,new,16,new,CORRUPT,Corrupt,corrupt,9,corrupt,tal_c02,Swish,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_c02,Swish,common,neutral,neutral,4,tal_c02,Swish,common,82,inherit,tal_u04,Wag,uncommon,11,upgrade,tal_c05,Flick,common,5,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_c03,Stub,common,steady,neutral,5,tal_c02,Swish,common,41,inherit,tal_c03,Stub,common,40,inherit,tal_u02,Drift,uncommon,11,upgrade,tal_c01,Curl,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_c04,Droop,common,neutral,neutral,5,tal_c02,Swish,common,41,inherit,tal_c04,Droop,common,40,inherit,tal_u02,Drift,uncommon,11,upgrade,tal_c03,Stub,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_c05,Flick,common,neutral,neutral,5,tal_c02,Swish,common,41,inherit,tal_c05,Flick,common,40,inherit,tal_u03,Whirl,uncommon,11,upgrade,tal_c04,Droop,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_u01,Zigzag,uncommon,swift,neutral,5,tal_u01,Zigzag,uncommon,47,inherit,tal_c02,Swish,common,36,inherit,tal_r02,Bolt,rare,9,upgrade,tal_c01,Curl,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_u02,Drift,uncommon,steady,neutral,5,tal_u02,Drift,uncommon,47,inherit,tal_c02,Swish,common,36,inherit,tal_r01,Ripple,rare,9,upgrade,tal_c03,Stub,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_u03,Whirl,uncommon,neutral,neutral,5,tal_u03,Whirl,uncommon,47,inherit,tal_c02,Swish,common,36,inherit,tal_r01,Ripple,rare,9,upgrade,tal_c04,Droop,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_u04,Wag,uncommon,neutral,neutral,5,tal_u04,Wag,uncommon,47,inherit,tal_c02,Swish,common,36,inherit,tal_r02,Bolt,rare,9,upgrade,tal_c05,Flick,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_r01,Ripple,rare,steady,neutral,6,tal_r01,Ripple,rare,54,inherit,tal_c02,Swish,common,30,inherit,tal_e02,Infinity,epic,6,upgrade,tal_c03,Stub,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_r02,Bolt,rare,swift,neutral,6,tal_r02,Bolt,rare,54,inherit,tal_c02,Swish,common,30,inherit,tal_e01,Lightning,epic,6,upgrade,tal_c04,Droop,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_r03,Fork,rare,neutral,neutral,6,tal_r03,Fork,rare,54,inherit,tal_c02,Swish,common,30,inherit,tal_e01,Lightning,epic,6,upgrade,tal_c05,Flick,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_e01,Lightning,epic,swift,neutral,6,tal_e01,Lightning,epic,60,inherit,tal_c02,Swish,common,23,inherit,tal_c01,Curl,common,6,sidegrade,NEW,New Species,new,5,new,tal_l01,Comet,legendary,4,upgrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_e02,Infinity,epic,steady,neutral,6,tal_e02,Infinity,epic,60,inherit,tal_c02,Swish,common,23,inherit,tal_c03,Stub,common,6,sidegrade,NEW,New Species,new,5,new,tal_l02,Glitter,legendary,4,upgrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_e03,Shimmer,epic,neutral,neutral,6,tal_e03,Shimmer,epic,60,inherit,tal_c02,Swish,common,23,inherit,tal_c04,Droop,common,6,sidegrade,NEW,New Species,new,5,new,tal_l01,Comet,legendary,4,upgrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_l01,Comet,legendary,swift,neutral,6,tal_l01,Comet,legendary,62,inherit,tal_c02,Swish,common,19,inherit,NEW,New Species,new,9,new,tal_c05,Flick,common,6,sidegrade,tal_m01,Supernova,mythic,2,upgrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_l02,Glitter,legendary,steady,neutral,6,tal_l02,Glitter,legendary,62,inherit,tal_c02,Swish,common,19,inherit,NEW,New Species,new,9,new,tal_c01,Curl,common,6,sidegrade,tal_m02,Eternal,mythic,2,upgrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_m01,Supernova,mythic,swift,neutral,5,tal_m01,Supernova,mythic,57,inherit,tal_c02,Swish,common,18,inherit,NEW,New Species,new,17,new,tal_c01,Curl,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c02,Swish,common,neutral,tal_m02,Eternal,mythic,steady,neutral,5,tal_m02,Eternal,mythic,57,inherit,tal_c02,Swish,common,18,inherit,NEW,New Species,new,17,new,tal_c03,Stub,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_c03,Stub,common,steady,same,3,tal_c03,Stub,common,77,inherit,tal_u02,Drift,uncommon,18,upgrade,tal_c05,Flick,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_c04,Droop,common,neutral,neutral,5,tal_c03,Stub,common,41,inherit,tal_c04,Droop,common,40,inherit,tal_u02,Drift,uncommon,11,upgrade,tal_c05,Flick,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_c05,Flick,common,neutral,neutral,5,tal_c03,Stub,common,41,inherit,tal_c05,Flick,common,40,inherit,tal_u02,Drift,uncommon,11,upgrade,tal_c02,Swish,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_u01,Zigzag,uncommon,swift,cross,5,tal_u01,Zigzag,uncommon,43,inherit,tal_c03,Stub,common,32,inherit,tal_u02,Drift,uncommon,11,upgrade,CORRUPT,Corrupt,corrupt,9,corrupt,tal_c05,Flick,common,5,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_u02,Drift,uncommon,steady,same,4,tal_u02,Drift,uncommon,44,inherit,tal_c03,Stub,common,33,inherit,tal_u02,Drift,uncommon,17,upgrade,tal_c04,Droop,common,6,sidegrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_u03,Whirl,uncommon,neutral,neutral,5,tal_u03,Whirl,uncommon,47,inherit,tal_c03,Stub,common,36,inherit,tal_u02,Drift,uncommon,9,upgrade,tal_c02,Swish,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_u04,Wag,uncommon,neutral,neutral,5,tal_u04,Wag,uncommon,47,inherit,tal_c03,Stub,common,36,inherit,tal_u02,Drift,uncommon,9,upgrade,tal_c01,Curl,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_r01,Ripple,rare,steady,same,5,tal_r01,Ripple,rare,51,inherit,tal_c03,Stub,common,28,inherit,tal_u02,Drift,uncommon,13,upgrade,tal_c04,Droop,common,6,sidegrade,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_r02,Bolt,rare,swift,cross,6,tal_r02,Bolt,rare,48,inherit,tal_c03,Stub,common,27,inherit,tal_u02,Drift,uncommon,9,upgrade,CORRUPT,Corrupt,corrupt,9,corrupt,tal_c02,Swish,common,5,sidegrade,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_r03,Fork,rare,neutral,neutral,6,tal_r03,Fork,rare,54,inherit,tal_c03,Stub,common,30,inherit,tal_u02,Drift,uncommon,6,upgrade,tal_c01,Curl,common,6,sidegrade,CORRUPT,Corrupt,corrupt,2,corrupt,NEW,New Species,new,2,new,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_e01,Lightning,epic,swift,cross,6,tal_e01,Lightning,epic,54,inherit,tal_c03,Stub,common,23,inherit,CORRUPT,Corrupt,corrupt,9,corrupt,tal_u02,Drift,uncommon,5,upgrade,tal_c05,Flick,common,5,sidegrade,NEW,New Species,new,4,new,,,,,,,,,,,,,,,,,,,,
tal_c03,Stub,common,steady,tal_e02,Infinity,epic,steady,same,5,tal_e02,Infinity,epic,57,inherit,tal_c03,Stub,common,23,inherit,tal_u02,Drift,uncommon,9,upgrade,tal_c04,Droop,common,6,sidegrade,NEW,New Species,new,5,new,,,,,,,,,,,,,,,,,,,,,,,,,
